cluster_name,included_chapters,rule_source,cluster_value_y3,cluster_value_y2,cluster_value_y1,cluster_share_y3,cluster_yoy_change,cluster_cagr_3yr,cluster_cv_volatility,cluster_balance_score_y3,component_values_y3_json,component_values_y2_json,component_values_y1_json,component_hsn_counts_json,component_shares_y3_json
food,"11,15,21",config.yaml,119954506032.26001,114182508643.54001,104313926328.29001,0.03197639654497414,0.05055062686299245,0.07235143468014482,0.05724168641648264,0.27192555496691767,"{""11"": 14757023158.07, ""15"": 50928868216.53, ""21"": 54268614657.66}","{""11"": 13577113234.159998, ""15"": 47257092027.17, ""21"": 53348303382.21002}","{""11"": 10005356011.03, ""15"": 50820942012.1, ""21"": 43487628305.16}","{""11"": 74, ""15"": 72, ""21"": 82}","{""11"": 0.0039337949022015, ""15"": 0.0135761609925726, ""21"": 0.0144664406501998}"
steel_machinery,"72,73,84",config.yaml,522431075705.2,581484609269.1602,481186030758.08997,0.13926499134325301,-0.10155648597162643,0.04197667107038816,0.07790283640316824,0.15666732873539702,"{""72"": 167545349897.47, ""73"": 48068271046.78999, ""84"": 306817454760.94}","{""72"": 161828917146.95, ""73"": 46981472970.92, ""84"": 372674219151.2901}","{""72"": 185251035820.94, ""73"": 38379672828.52, ""84"": 257555322108.63}","{""72"": 101, ""73"": 66, ""84"": 99}","{""72"": 0.0446627369391786, ""73"": 0.0128136086510171, ""84"": 0.0817886457530572}"
textiles,"52,54,60,61,62",config.yaml,457585137699.56006,468225011687.2699,435013694663.63,0.1219789426854268,-0.022723847983619188,0.025615298880438786,0.030526483618008294,0.16355885059055586,"{""52"": 92990590344.48, ""54"": 41183287992.03, ""60"": 33384710451.76, ""61"": 85912186825.59999, ""62"": 204114362085.69003}","{""52"": 97440263112.91998, ""54"": 40445853492.92, ""60"": 32931034956.58, ""61"": 87859604857.11, ""62"": 209548255267.73996}","{""52"": 100953284728.9, ""54"": 37376883642.37, ""60"": 29639950678.66, ""61"": 74284906010.12, ""62"": 192758669603.58}","{""52"": 40, ""54"": 61, ""60"": 62, ""61"": 81, ""62"": 99}","{""52"": 0.0247885976955851, ""54"": 0.0109782716082784, ""60"": 0.0088993967401068, ""61"": 0.0229017003599888, ""62"": 0.0544109762814675}"
electrical,85,config.yaml,414893872362.46014,435784155932.26,359700034611.05,0.11059868799904855,-0.04793722599921034,0.0739851355038168,0.07955276829390102,1.0,"{""85"": 414893872362.46014}","{""85"": 435784155932.26}","{""85"": 359700034611.05}","{""85"": 96}","{""85"": 0.1105986879990485}"
