zone,commissionerate,division,range,hsn4,chapter2,taxable_y1,taxable_y2,taxable_y3,share_original,yoy_change,mean_3yr,sd_3yr,cv_volatility,cagr_3yr,share_y3_computed
DELHI,DELHI EAST,MANDOLI,All Ranges,7404,74,35422960113.39,64990425778.08001,57701397881.70002,0.13591634686,-0.112155,52704927924.39001,12577288803.86871,0.23863591696609412,0.27629404304794236,0.1359163468611411
DELHI,DELHI EAST,MANDOLI,All Ranges,7204,72,24554450635.44,28443854957.58,29588588735.27,0.06969628184,0.040245,27528964776.09667,2154592712.505229,0.07826639069174357,0.0977337446151123,0.06969628184605993
DELHI,DELHI EAST,MANDOLI,All Ranges,7602,76,11083801913.71,17096816969.58,23970232137.66,0.05646217431,0.402028,17383617006.983334,5264770439.773794,0.3028581702909604,0.4705904528066538,0.056462174317574464
DELHI,DELHI EAST,MANDOLI,All Ranges,8548,85,6577118258.189999,10233662442.86,22650832201.5,0.05335431166,1.213365,13153870967.516668,6879282101.762639,0.5229853720437844,0.8557704544549949,0.053354311666840244
DELHI,DELHI EAST,MANDOLI,All Ranges,7408,74,7062237518.86,9409509741.410002,13011555943.04,0.0306488788,0.382809,9827767734.436666,2446739631.921076,0.24896189023145696,0.35735503036585703,0.030648878808501808
DELHI,DELHI EAST,MANDOLI,All Ranges,7601,76,2896755806.830001,5628443320.129999,9404769033.709997,0.02215304822,0.670936,5976656053.556666,2668270116.3989625,0.4464486650208177,0.8018478840722196,0.02215304822866427
DELHI,DELHI EAST,MANDOLI,All Ranges,2523,25,1848770739.6,3703477425.54,5764161162.81,0.01357755196,0.556418,3772136442.65,1599188562.368226,0.4239476982557833,0.7657390755291544,0.013577551961119323
DELHI,DELHI EAST,MANDOLI,All Ranges,7604,76,2921340972.120001,5199161541.78,6991399016.530001,0.0164683257,0.344716,5037300510.143333,1665531419.975519,0.3306396782605545,0.5470021585098939,0.016468325701979265
DELHI,DELHI EAST,MANDOLI,All Ranges,7801,78,2088860281.96,3630578994.440001,6744087892.039999,0.01588578133,0.857579,4154509056.146667,1936261528.0625613,0.4660626567170023,0.7968296884469332,0.015885781330216956
DELHI,DELHI EAST,MANDOLI,All Ranges,3004,30,7287075478.610003,8432658895.700005,8647295185.959997,0.02036880933,0.025452,8122343186.756668,597088096.5031205,0.07351180352446345,0.08934014359677023,0.02036880933656485
DELHI,DELHI EAST,MANDOLI,All Ranges,8544,85,3492400063.660001,3666557488.83,5099080646.779999,0.01201094668,0.390699,4086012733.09,719866955.5302639,0.1761783436699848,0.20832551645909647,0.012010946689395235
DELHI,DELHI EAST,MANDOLI,All Ranges,8708,87,2007244156.620001,3265103345.16,3301247131.21,0.0077761279,0.011069,2857864877.6633334,601660647.2194085,0.21052802458293352,0.282445497832746,0.007776127903864671
DELHI,DELHI EAST,MANDOLI,All Ranges,7214,72,2357401309.81,3395107973.22,4872839994.719999,0.01147803407,0.435253,3541783092.5833335,1032147643.6265059,0.29142034298708847,0.4377200035322737,0.011478034072572309
DELHI,DELHI EAST,MANDOLI,All Ranges,3901,39,3362956879.590001,3326789357.680001,4780066698.349999,0.01125950544,0.43684,3823270978.540001,676717843.464728,0.17699970712595092,0.1922197965020258,0.011259505440827055
DELHI,DELHI EAST,MANDOLI,All Ranges,8549,85,65535367.06,1303723412.95,4769469243.33,0.011234543,2.658344,2046242674.4466667,1990854024.1732597,0.972931533993941,7.5309453167373785,0.011234543006202913
DELHI,DELHI EAST,MANDOLI,All Ranges,8714,87,418263103.7600001,773075729.7500001,2896698888.35,0.00682320958,2.746979,1362679240.6200001,1094344616.5344,0.8030830615989192,1.6316425420459502,0.0068232095809610364
DELHI,DELHI EAST,MANDOLI,All Ranges,3915,39,1974278356.2,1970347591.41,4440305831.329999,0.01045919457,1.253564,2794977259.646666,1163424097.0302832,0.4162552997577377,0.4996926038538647,0.01045919457233806
DELHI,DELHI EAST,MANDOLI,All Ranges,8703,87,2671015022.600001,3811262671.73,2490829424.340001,0.0058671791,-0.346455,2991035706.223334,584634312.2917571,0.19546216418457688,-0.03431868479795874,0.005867179105515246
DELHI,DELHI EAST,MANDOLI,All Ranges,7403,74,4338512138.81,4683673034.939999,4222478519.240001,0.00994609968,-0.098468,4414887897.663334,195874173.4434901,0.044366737725585366,-0.013463141039088633,0.00994609968048547
DELHI,DELHI EAST,MANDOLI,All Ranges,8517,85,2662531814.24,6145430865.279999,4083153340.27,0.00961791752,-0.335578,4297038673.263333,1429908307.4766445,0.3327659851827022,0.23837005568660197,0.009617917521186639
DELHI,DELHI EAST,MANDOLI,All Ranges,7306,73,2562604990.49,3302429049.51,3631976095.450001,0.00855516401,0.099789,3165670045.15,447150913.36594427,0.14125000615620278,0.19050344629704385,0.008555164015135838
DELHI,DELHI EAST,MANDOLI,All Ranges,4804,48,5030013439.739999,4723911154.42,4665300877.869999,0.01098917315,-0.012407,4806408490.676666,159912832.63813585,0.033270753609130434,-0.03693576218157024,0.010989173150158058
DELHI,DELHI EAST,MANDOLI,All Ranges,3902,39,1912796536.59,2710630846.14,2963353455.13,0.00698021522,0.093233,2528926945.9533334,447719920.09912455,0.17703948341233988,0.24467893396162532,0.006980215226420846
DELHI,DELHI EAST,MANDOLI,All Ranges,8481,84,5953660450.26,1711475008.809999,2965957326.620001,0.00698634867,0.732983,3543697595.23,1779395439.1670504,0.5021295952459963,-0.2941857570054234,0.0069863486774915185
DELHI,DELHI EAST,MANDOLI,All Ranges,2402,24,529210141.4700001,423550705.0200002,437171119.3200001,0.0010297619,0.032157,463310655.27000016,46928567.22362828,0.10128963512889654,-0.09110931448553061,0.0010297619065137947
DELHI,DELHI EAST,MANDOLI,All Ranges,8415,84,705321644.9,857725025.74,1410026794.01,0.00332133532,0.643914,991024488.2166666,302741800.6794602,0.3054836729859617,0.41390450054586436,0.003321335320351854
DELHI,DELHI EAST,MANDOLI,All Ranges,7209,72,1484942349.24,1280485393.28,1961557554.34,0.00462047275,0.531885,1575661765.62,285350464.6617097,0.18109880615744237,0.149332615306772,0.004620472756836306
DELHI,DELHI EAST,MANDOLI,All Ranges,7219,72,1116443186.94,2166736015.02,1934348109.42,0.00455638057,-0.107252,1739175770.46,450442698.9828332,0.25899780035671394,0.31628218296257393,0.004556380577280658
DELHI,DELHI EAST,MANDOLI,All Ranges,2202,22,807470093.59,895022905.6199999,1141927784.06,0.00268982483,0.275864,948140261.09,141613503.9882057,0.14935923491467826,0.1892032756255555,0.002689824830706518
DELHI,DELHI EAST,MANDOLI,All Ranges,0802,08,1494512834.21,2635718368.81,2859902539.74,0.00673653533,0.085056,2330044580.92,597857067.8928146,0.25658610688760103,0.3833299896513842,0.006736535332771178
DELHI,DELHI EAST,MANDOLI,All Ranges,8711,87,721800097.74,882238782.7900003,1209110579.4,0.00284807472,0.370502,937716486.6433334,202774436.42720175,0.2162427975997913,0.29426897949740294,0.0028480747249855698
DELHI,DELHI EAST,MANDOLI,All Ranges,7308,73,770547445.37,966679884.4800003,1795238116.560001,0.00422870529,0.857117,1177488482.136667,444093039.456397,0.37715276726150826,0.5263753289375246,0.00422870529148993
DELHI,DELHI EAST,MANDOLI,All Ranges,2106,21,1741534003.93,2055428942.72,2354733241.65,0.00554660288,0.145616,2050565396.1000001,250361161.59046575,0.1220937220859336,0.16279961172560342,0.005546602886358553
DELHI,DELHI EAST,MANDOLI,All Ranges,8414,84,1386615657.45,1202195375.25,1722211436.35,0.00405669005,0.432555,1437007489.6833332,215265229.45328632,0.14980104905418645,0.11446179374571797,0.004056690055084575
DELHI,DELHI EAST,MANDOLI,All Ranges,9405,94,2284985135.780001,2134416499.69,1722436953.57,0.00405722126,-0.193017,2047279529.6800003,237781065.94629842,0.1161448949687221,-0.13177961678094519,0.004057221263648352
DELHI,DELHI EAST,MANDOLI,All Ranges,4819,48,1229485548.75,1389396308.71,1944390617.52,0.00458003582,0.399449,1521090824.993333,306354803.62110144,0.20140467524182468,0.2575638486463361,0.004580035827662526
DELHI,DELHI EAST,MANDOLI,All Ranges,7208,72,1259906542.43,1723646198.610001,1702992461.100001,0.00401141952,-0.011982,1562181734.0466673,213907087.02370867,0.13692842667517618,0.16261841382761988,0.004011419524347174
DELHI,DELHI EAST,MANDOLI,All Ranges,4412,44,629522541.4899999,850896474.76,1536248954.53,0.00361865315,0.805447,1005555990.2599999,385986071.706495,0.38385338603243085,0.5621587198419564,0.0036186531597908853
DELHI,DELHI EAST,MANDOLI,All Ranges,3917,39,1420631623.62,1486469171.4,1627938716.51,0.00383462951,0.095171,1511679837.1766665,86489848.89300737,0.05721439604204994,0.07047933273708717,0.003834629513057736
