S.No,Zone,Commissionerate,Division,Range,HSN Code,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
2336,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7238,72,,12786.000000000,-
2337,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,5390,53,,2129.000000000,-0.611666
2338,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0285,28,,3742.000000000,1.469966
2339,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1525,15,,2104.240000000,-
2340,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8074,80,,2795.000000000,-0.998252
2341,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3932,39,,2100.000000000,-0.487804
2342,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2110,21,,2100.080000000,-0.388896
2343,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0224,22,,2226.790000000,0.178307
2344,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0411,41,,7500.000000000,-0.689440
2345,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8130,81,,2075.890000000,-
2346,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3107,31,,7447.120000000,0.963271
2347,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7137,71,,12330.000000000,-
2348,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4607,46,,3075.000000000,-0.983527
2349,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1183,11,,2049.800000000,-
2350,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8060,80,,57359.150000000,-0.594636
2351,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7090,70,,7345.680000000,-
2352,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6589,65,,2031.360000000,-
2353,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6134,61,,7306.640000000,-0.607395
2354,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,5158,51,,2028.820000000,-
2355,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3880,38,,2401.190000000,0.012306
2356,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6451,64,,1971.180000000,-
2357,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7296,72,,12090.000000000,-
2358,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,5871,58,,3005.000000000,-
2359,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8924,89,,3000.000000000,-
2360,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2031,20,,2000.000000000,-
2361,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3022,30,,1991.530000000,-0.990750
2362,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1333,13,,1975.410000000,-0.984716
2363,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8300,83,,1257.000000000,-
2364,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9173,91,,1954.380000000,-
2365,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3121,31,,1950.000000000,-
2366,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2820,28,,1942.000000000,-0.834290
2367,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1700,17,,2893.310000000,-0.962064
2368,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2170,21,,6941.250000000,-
2369,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1224,12,,1927.160000000,-0.077940
2370,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6317,63,,6900.000000000,-0.551948
2371,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9319,93,,2872.320000000,-
2372,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8182,81,,1900.000000000,0.241830
2373,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7256,72,,11359.000000000,-
2374,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3310,33,,2419.760000000,-0.092400
2375,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1592,15,,6773.480000000,-
