S.No,Zone,Commissionerate,Division,Range,HSN Code,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
62,DELHI,DELHI EAST,All Divisions,All Ranges,8414,84,,9260914716.1799965,2.4390999999999999E-2
63,DELHI,DELHI EAST,All Divisions,All Ranges,8418,84,,8862805218.1899986,-7.8560000000000005E-2
64,DELHI,DELHI EAST,All Divisions,All Ranges,7605,76,,8796406061.75,0.41815000000000002
65,DELHI,DELHI EAST,All Divisions,All Ranges,7607,76,,8716848512.4099979,0.75180999999999998
66,DELHI,DELHI EAST,All Divisions,All Ranges,4412,44,,8665601134.380003,0.444241
67,DELHI,DELHI EAST,All Divisions,All Ranges,5208,52,,31678067580.790001,2.0483000000000001E-2
68,DELHI,DELHI EAST,All Divisions,All Ranges,5407,54,,30924125509.689999,3.5180000000000003E-2
69,DELHI,DELHI EAST,All Divisions,All Ranges,0802,80,,17649783759.91,-0.14161699999999999
70,DELHI,DELHI EAST,All Divisions,All Ranges,7308,73,,9643564149.7099972,0.18494099999999999
71,DELHI,DELHI EAST,All Divisions,All Ranges,7208,72,,8205130965.869998,0.26086500000000001
72,DELHI,DELHI EAST,All Divisions,All Ranges,7219,72,,8036546577.5700006,2.1474E-2
73,DELHI,DELHI EAST,All Divisions,All Ranges,3305,33,,7937836482.8199987,-2.3642E-2
74,DELHI,DELHI EAST,All Divisions,All Ranges,3824,38,,7832648625.460001,-3.9439000000000002E-2
75,DELHI,DELHI EAST,All Divisions,All Ranges,4802,48,,11399282203.469999,1.0985999999999999E-2
76,DELHI,DELHI EAST,All Divisions,All Ranges,4804,48,,11291150684.709999,6.1619999999999999E-3
77,DELHI,DELHI EAST,All Divisions,All Ranges,6205,62,,23792114850.380009,2.171E-2
78,DELHI,DELHI EAST,All Divisions,All Ranges,6006,60,,26427336404.139999,-1.4975E-2
79,DELHI,DELHI EAST,All Divisions,All Ranges,7403,74,,7244734049.46,9.6820000000000003E-2
80,DELHI,DELHI EAST,All Divisions,All Ranges,3917,39,,7252683196.0299988,4.6933000000000002E-2
81,DELHI,DELHI EAST,All Divisions,All Ranges,3402,34,,7228255355.0600023,-7.6368000000000005E-2
82,DELHI,DELHI EAST,All Divisions,All Ranges,8549,85,,6974085244.6400003,1.878304
83,DELHI,DELHI EAST,All Divisions,All Ranges,1701,17,,26391396474.560001,9.3437000000000006E-2
84,DELHI,DELHI EAST,All Divisions,All Ranges,7106,71,,41153450217.450012,0.56209299999999995
85,DELHI,DELHI EAST,All Divisions,All Ranges,3926,39,,6986723126.9099998,-0.14351800000000001
86,DELHI,DELHI EAST,All Divisions,All Ranges,8516,85,,6579460077.6899986,6.7510000000000001E-2
87,DELHI,DELHI EAST,All Divisions,All Ranges,4811,48,,6588080493.4899998,-7.8909000000000007E-2
88,DELHI,DELHI EAST,All Divisions,All Ranges,7209,72,,6473288182.9900007,0.26529700000000001
89,DELHI,DELHI EAST,All Divisions,All Ranges,1507,15,,24450319129.919998,0.81288300000000002
90,DELHI,DELHI EAST,All Divisions,All Ranges,6109,61,,22856667072.400002,-0.12811
