S.No,Zone,Commissionerate,Division,Range,HSN Code,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
66,DELHI,DELHI EAST,MANDOLI,All Ranges,3921,39,,957462281.250000000,0.041556
67,DELHI,DELHI EAST,MANDOLI,All Ranges,8442,84,,943902398.820000000,0.018657
68,DELHI,DELHI EAST,MANDOLI,All Ranges,2713,27,,930091841.700000000,6.318721
69,DELHI,DELHI EAST,MANDOLI,All Ranges,7606,76,,918142783.029999800,-0.093808
70,DELHI,DELHI EAST,MANDOLI,All Ranges,7318,73,,848400028.820000000,1.055069
71,DELHI,DELHI EAST,MANDOLI,All Ranges,9403,94,,769621609.530000000,0.105000
72,DELHI,DELHI EAST,MANDOLI,All Ranges,3506,35,,789399766.440000000,0.240688
73,DELHI,DELHI EAST,MANDOLI,All Ranges,8418,84,,785272812.809999900,0.371136
74,DELHI,DELHI EAST,MANDOLI,All Ranges,8528,85,,622872136.980000100,-0.361506
75,DELHI,DELHI EAST,MANDOLI,All Ranges,1905,19,,911466965.570000200,0.158775
76,DELHI,DELHI EAST,MANDOLI,All Ranges,8518,85,,762798639.650000000,0.409086
77,DELHI,DELHI EAST,MANDOLI,All Ranges,3701,37,,1104700321.640000000,-0.065756
78,DELHI,DELHI EAST,MANDOLI,All Ranges,3926,39,,769644725.730000100,0.076731
79,DELHI,DELHI EAST,MANDOLI,All Ranges,8516,85,,687573303.690000000,-0.187271
80,DELHI,DELHI EAST,MANDOLI,All Ranges,2711,27,,2771069960.700000000,-0.222090
81,DELHI,DELHI EAST,MANDOLI,All Ranges,7502,75,,675202613.040000000,0.455632
82,DELHI,DELHI EAST,MANDOLI,All Ranges,9503,95,,925876356.760000200,-0.088194
83,DELHI,DELHI EAST,MANDOLI,All Ranges,6203,62,,2263211373.270001000,-0.383329
84,DELHI,DELHI EAST,MANDOLI,All Ranges,4411,44,,639841067.020000100,0.671083
85,DELHI,DELHI EAST,MANDOLI,All Ranges,8001,80,,634654804.030000000,0.237006
86,DELHI,DELHI EAST,MANDOLI,All Ranges,4707,47,,2228848249.860000000,0.169143
87,DELHI,DELHI EAST,MANDOLI,All Ranges,7304,73,,612645660.410000300,1.630046
88,DELHI,DELHI EAST,MANDOLI,All Ranges,7323,73,,749036997.130000000,0.553058
89,DELHI,DELHI EAST,MANDOLI,All Ranges,4810,48,,875081048.780000100,0.226340
90,DELHI,DELHI EAST,MANDOLI,All Ranges,4407,44,,605307212.310000000,0.341838
91,DELHI,DELHI EAST,MANDOLI,All Ranges,7217,72,,590419822.589999900,0.291364
92,DELHI,DELHI EAST,MANDOLI,All Ranges,1701,17,,2115392823.560001000,-0.018023
93,DELHI,DELHI EAST,MANDOLI,All Ranges,8523,85,,577814524.599999900,-0.064508
94,DELHI,DELHI EAST,MANDOLI,All Ranges,3903,39,,572933026.220000100,0.168146
95,DELHI,DELHI EAST,MANDOLI,All Ranges,6402,64,,819822686.750000100,1.584686
96,DELHI,DELHI EAST,MANDOLI,All Ranges,3102,31,,544847695.470000100,1.066398
97,DELHI,DELHI EAST,MANDOLI,All Ranges,7201,72,,544569572.870000100,0.172589
98,DELHI,DELHI EAST,MANDOLI,All Ranges,8538,85,,537219716.170000000,0.312681
99,DELHI,DELHI EAST,MANDOLI,All Ranges,3204,32,,527868804.780000100,0.750952
100,DELHI,DELHI EAST,MANDOLI,All Ranges,8409,84,,348004170.840000100,0.558847
101,DELHI,DELHI EAST,MANDOLI,All Ranges,6206,62,,1876197383.190000000,-0.247590
102,DELHI,DELHI EAST,MANDOLI,All Ranges,8443,84,,527832705.300000100,0.383584
103,DELHI,DELHI EAST,MANDOLI,All Ranges,4011,40,,458858843.430000100,0.428198
104,DELHI,DELHI EAST,MANDOLI,All Ranges,8302,83,,537302322.390000100,-0.045478
105,DELHI,DELHI EAST,MANDOLI,All Ranges,8482,84,,501136536.650000100,-0.443823
106,DELHI,DELHI EAST,MANDOLI,All Ranges,6907,69,,466889342.940000100,-0.156139
107,DELHI,DELHI EAST,MANDOLI,All Ranges,7228,72,,490549586.210000100,-0.118625
108,DELHI,DELHI EAST,MANDOLI,All Ranges,8479,84,,489411730.350000000,0.461247
109,DELHI,DELHI EAST,MANDOLI,All Ranges,6805,68,,489012974.960000100,0.141135
110,DELHI,DELHI EAST,MANDOLI,All Ranges,7225,72,,474257482.860000100,1.084941
111,DELHI,DELHI EAST,MANDOLI,All Ranges,6212,62,,1696443862.660000000,-0.069844
112,DELHI,DELHI EAST,MANDOLI,All Ranges,2620,26,,470418662.180000000,0.824119
113,DELHI,DELHI EAST,MANDOLI,All Ranges,8529,85,,470441788.580000000,-0.093606
114,DELHI,DELHI EAST,MANDOLI,All Ranges,5402,54,,636879545.270000000,0.305918
115,DELHI,DELHI EAST,MANDOLI,All Ranges,5211,52,,1645103489.510000000,-0.566150
116,DELHI,DELHI EAST,MANDOLI,All Ranges,3919,39,,446706088.650000000,0.141465
117,DELHI,DELHI EAST,MANDOLI,All Ranges,8537,85,,443138262.540000100,0.198733
118,DELHI,DELHI EAST,MANDOLI,All Ranges,6204,62,,1000706892.880000000,0.000804
119,DELHI,DELHI EAST,MANDOLI,All Ranges,5903,59,,645230200.420000000,0.007776
120,DELHI,DELHI EAST,MANDOLI,All Ranges,4002,40,,431645068.210000100,2.379597
121,DELHI,DELHI EAST,MANDOLI,All Ranges,7409,74,,421166604.800000000,0.272106
122,DELHI,DELHI EAST,MANDOLI,All Ranges,4802,48,,657045014.330000100,0.103286
123,DELHI,DELHI EAST,MANDOLI,All Ranges,6105,61,,1468184987.930000000,0.010023
124,DELHI,DELHI EAST,MANDOLI,All Ranges,8308,83,,414311259.600000000,0.209356
125,DELHI,DELHI EAST,MANDOLI,All Ranges,8473,84,,406644180.350000000,-0.065154
126,DELHI,DELHI EAST,MANDOLI,All Ranges,1507,15,,1434632201.160000000,0.152888
127,DELHI,DELHI EAST,MANDOLI,All Ranges,7407,74,,397901101.470000000,2.991232
128,DELHI,DELHI EAST,MANDOLI,All Ranges,8207,82,,389197851.190000000,0.487370
129,DELHI,DELHI EAST,MANDOLI,All Ranges,3307,33,,493752828.830000100,-0.192258
130,DELHI,DELHI EAST,MANDOLI,All Ranges,1806,18,,379438116.090000100,-0.001623
131,DELHI,DELHI EAST,MANDOLI,All Ranges,8441,84,,375614447.290000100,0.320846
132,DELHI,DELHI EAST,MANDOLI,All Ranges,4004,40,,422626010.210000100,5.162950
133,DELHI,DELHI EAST,MANDOLI,All Ranges,7303,73,,369789108.310000000,-0.115365
134,DELHI,DELHI EAST,MANDOLI,All Ranges,4016,40,,364849067.150000000,0.334630
135,DELHI,DELHI EAST,MANDOLI,All Ranges,2403,24,,115659087.140000000,1.593885
136,DELHI,DELHI EAST,MANDOLI,All Ranges,9018,90,,612127791.650000000,-0.207986
137,DELHI,DELHI EAST,MANDOLI,All Ranges,7616,76,,339042733.160000000,-0.120525
138,DELHI,DELHI EAST,MANDOLI,All Ranges,3214,32,,336320412.329999900,0.046930
139,DELHI,DELHI EAST,MANDOLI,All Ranges,8450,84,,347748205.029999900,-0.127500
140,DELHI,DELHI EAST,MANDOLI,All Ranges,7215,72,,321185780.570000100,-0.245133
141,DELHI,DELHI EAST,MANDOLI,All Ranges,3401,34,,320282617.600000000,-0.284253
142,DELHI,DELHI EAST,MANDOLI,All Ranges,7007,70,,315073358.540000000,1.731013
143,DELHI,DELHI EAST,MANDOLI,All Ranges,7321,73,,329550632.460000000,-0.411672
144,DELHI,DELHI EAST,MANDOLI,All Ranges,8467,84,,306667649.150000100,0.672835
145,DELHI,DELHI EAST,MANDOLI,All Ranges,9024,90,,302031506.600000000,0.203413
146,DELHI,DELHI EAST,MANDOLI,All Ranges,8209,82,,301926771.270000000,1.623283
147,DELHI,DELHI EAST,MANDOLI,All Ranges,4823,48,,307483187.760000000,-0.049304
148,DELHI,DELHI EAST,MANDOLI,All Ranges,3402,34,,299649791.050000000,-0.235995
149,DELHI,DELHI EAST,MANDOLI,All Ranges,6006,60,,1067666947.490000000,-0.246639
150,DELHI,DELHI EAST,MANDOLI,All Ranges,3002,30,,544427201.540000000,0.323004
151,DELHI,DELHI EAST,MANDOLI,All Ranges,1108,11,,439512075.780000000,-0.050107
152,DELHI,DELHI EAST,MANDOLI,All Ranges,8501,85,,280868340.600000100,0.075634
153,DELHI,DELHI EAST,MANDOLI,All Ranges,8311,83,,291795244.680000000,1.718610
154,DELHI,DELHI EAST,MANDOLI,All Ranges,7325,73,,289531506.140000000,0.175084
155,DELHI,DELHI EAST,MANDOLI,All Ranges,8539,85,,285130330.510000000,0.033350
156,DELHI,DELHI EAST,MANDOLI,All Ranges,1514,15,,1018318023.080000000,1.160489
157,DELHI,DELHI EAST,MANDOLI,All Ranges,9027,90,,279244238.680000100,3.375934
158,DELHI,DELHI EAST,MANDOLI,All Ranges,1704,17,,497991019.270000200,0.048075
159,DELHI,DELHI EAST,MANDOLI,All Ranges,7222,72,,272664099.370000000,0.069932
160,DELHI,DELHI EAST,MANDOLI,All Ranges,3924,39,,272793449.320000000,0.772682
161,DELHI,DELHI EAST,MANDOLI,All Ranges,7206,72,,264955479.260000100,0.052950
162,DELHI,DELHI EAST,MANDOLI,All Ranges,4821,48,,264963028.810000000,0.452704
163,DELHI,DELHI EAST,MANDOLI,All Ranges,5407,54,,926552529.930000200,0.037624
164,DELHI,DELHI EAST,MANDOLI,All Ranges,8509,85,,257798472.300000000,0.179040
165,DELHI,DELHI EAST,MANDOLI,All Ranges,7211,72,,254927288.400000000,-0.298148
166,DELHI,DELHI EAST,MANDOLI,All Ranges,6802,68,,256565740.860000000,0.201005
167,DELHI,DELHI EAST,MANDOLI,All Ranges,2905,29,,239077531.190000000,0.127592
168,DELHI,DELHI EAST,MANDOLI,All Ranges,2715,27,,262055995.770000000,0.982543
169,DELHI,DELHI EAST,MANDOLI,All Ranges,5209,52,,837696572.720000300,0.204258
170,DELHI,DELHI EAST,MANDOLI,All Ranges,6404,64,,314208862.360000000,-0.029457
171,DELHI,DELHI EAST,MANDOLI,All Ranges,4814,48,,229286333.420000100,27.073431
172,DELHI,DELHI EAST,MANDOLI,All Ranges,8511,85,,152559076.560000000,-0.125814
173,DELHI,DELHI EAST,MANDOLI,All Ranges,0405,40,,343772141.970000000,-0.415058
174,DELHI,DELHI EAST,MANDOLI,All Ranges,7418,74,,232678743.570000000,1.449917
175,DELHI,DELHI EAST,MANDOLI,All Ranges,3809,38,,224446593.980000000,1.486159
