cluster_name,included_chapters,rule_source,cluster_value_y3,cluster_value_y2,cluster_value_y1,cluster_share_y3,cluster_yoy_change,cluster_cagr_3yr,cluster_cv_volatility,cluster_balance_score_y3,component_values_y3_json,component_values_y2_json,component_values_y1_json,component_hsn_counts_json,component_shares_y3_json
food,"11,15,21",config.yaml,14772988158.27,12348193931.460001,10782909820.230001,0.0229618154690155,0.19636833048371968,0.17048590500592153,0.12991938394973307,0.2645280123697229,"{""11"": 2460081611.61, ""15"": 9299890735.85, ""21"": 3013015810.8100004}","{""11"": 2510547570.71, ""15"": 6691189998.410001, ""21"": 3146456362.34}","{""11"": 1793939354.96, ""15"": 6316825524.040001, ""21"": 2672144941.23}","{""11"": 26, ""15"": 32, ""21"": 28}","{""11"": 0.003823731488804, ""15"": 0.0144549208779438, ""21"": 0.0046831631022675}"
steel_machinery,"72,73,84",config.yaml,52031673276.770004,42244765587.7,48269958791.76001,0.08087339321777462,0.23167148764862758,0.03823444277308341,0.08483448046086112,0.24661739553654421,"{""72"": 29741570338.59, ""73"": 7334788616.070002, ""84"": 14955314322.11}","{""72"": 24660912373.21, ""73"": 6237412947.47, ""84"": 11346440267.02}","{""72"": 31988151161.910007, ""73"": 5415664808.43, ""84"": 10866142821.42}","{""72"": 100, ""73"": 39, ""84"": 89}","{""72"": 0.0462276448445635, ""73"": 0.0114005413733546, ""84"": 0.0232452069998564}"
textiles,"52,54,60,61,62",config.yaml,293046953804.89,307400717167.35,287644189836.07,0.4554860536632952,-0.046693981376255946,0.00934771132841905,0.02816241633622418,0.1739136914098865,"{""52"": 66878166809.85, ""54"": 22832951602.63, ""60"": 25184463969.89, ""61"": 46862388838.53, ""62"": 131288982583.99}","{""52"": 72529211574.54001, ""54"": 22890324180.359993, ""60"": 25298232703.47, ""61"": 48834314281.42, ""62"": 137848634427.56}","{""52"": 72069807641.64, ""54"": 21155048307.81, ""60"": 23163505660.109997, ""61"": 42756426211.12, ""62"": 128499402015.39}","{""52"": 22, ""54"": 31, ""60"": 34, ""61"": 50, ""62"": 32}","{""52"": 0.1039494588868367, ""54"": 0.0354895039307977, ""60"": 0.0391444850674275, ""61"": 0.0728387184379621, ""62"": 0.204063887340271}"
electrical,85,config.yaml,35995965019.810005,33362344186.45,23523068404.41,0.05594891822554644,0.07893992156671174,0.2370291246902596,0.1733763040309347,1.0,"{""85"": 35995965019.810005}","{""85"": 33362344186.45}","{""85"": 23523068404.41}","{""85"": 77}","{""85"": 0.0559489182255464}"
