zone,commissionerate,division,range,hsn4,chapter2,taxable_y1,taxable_y2,taxable_y3,share_original,yoy_change,mean_3yr,sd_3yr,cv_volatility,cagr_3yr,share_y3_computed
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7404,74,18183617508.76,19673708073.5,22111466539.92001,0.03436809188,0.123909,19989597374.06,1619020082.3445387,0.08099313117959546,0.10272857933784629,0.034368091884967075
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6203,62,66261045382.88001,69136369257.87,63040988039.81,0.09798529037,-0.088164,66146134226.85333,2489755205.9997363,0.03764022244234148,-0.024600869895755828,0.0979852903722929
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8517,85,8088899172.729999,13826835119.57,13427620876.84,0.02087069653,-0.028872,11781118389.713333,2615875259.843939,0.22203963777564503,0.28841218753096265,0.020870696534695286
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6204,62,28430913475.9,31662804881.9,32049923196.70999,0.04981554268,0.012226,30714547184.836666,1622488281.387408,0.05282475016230769,0.06173978109434963,0.049815542688768734
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7204,72,21452962436.13001,11765711466.8,12383029292.88,0.01924707652,0.052467,15200567731.936668,4428287854.040786,0.29132384606509615,-0.2402515653020323,0.019247076524010528
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7602,76,5052148600.26,8755285419.01,10269738574.07,0.01596236587,0.172975,8025724197.78,2191651731.053182,0.27307837611207925,0.42574427420448746,0.0159623658752354
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,5211,52,31248953278.31,30981174622.93,29818691814.88,0.04634751559,-0.037522,30682939905.373337,620816625.373553,0.020233283619110854,-0.023152980194372064,0.04634751559029874
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2402,24,650708930.18,1197314175.78,1213196931.63,0.00188568512,0.013265,1020406679.1966667,261496188.25053698,0.25626663719646026,0.3654388900727461,0.0018856851283718967
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8548,85,3510284383.84,5756083243.34,7843959785.770001,0.01219195163,0.362725,5703442470.983334,1769607095.8471768,0.3102700000657809,0.49484625661364023,0.012191951636162497
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3901,39,4725059258.07,6812865903.01,7081312023.750001,0.01100655996,0.039402,6206412394.943334,1053192342.9992702,0.16969422525924271,0.2242024260600637,0.011006559961049179
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4810,48,10657452961.68,10540746997.0,9932441447.230001,0.01543810129,-0.057709,10376880468.636667,317856994.4274295,0.0306312668232161,-0.03461333733364713,0.01543810129844472
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8711,87,2756437713.99,4007653163.67,4462894772.230001,0.00693672567,0.113593,3742328549.9633336,721478475.4854547,0.19278865173196072,0.2724309725203955,0.006936725672538533
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3004,30,7293270667.780001,9559599623.860003,9972940078.749998,0.01550104875,0.043238,8941936790.13,1177932530.6515098,0.1317312522217443,0.16936593754378015,0.01550104875997025
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7214,72,4037284486.179999,5462734427.559999,6284946373.590001,0.0097687602,0.150512,5261655095.776666,928554670.1843308,0.1764757767816532,0.24768832632637539,0.009768760207273578
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2523,25,1805875836.44,3076280250.789999,4026551952.210001,0.0062585133,0.308902,2969569346.48,909721941.258913,0.30634810476382995,0.4932162584847575,0.006258513302286258
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6006,60,19656990889.51,20944070715.45,20382680730.44,0.03168102138,-0.026804,20327914111.8,526873265.26302385,0.025918707761421675,0.018291533157809736,0.03168102138051328
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,5407,54,16573690210.44,18082209442.73999,18341514614.97,0.02850841478,0.01434,17665804756.05,779463674.0032667,0.04412273795431392,0.051981226787414014,0.028508414783736724
DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,5209,52,20315044501.72,20659831327.16,18096451403.31,0.02812751038,-0.124075,19690442410.73,1135877043.683607,0.0576867202874339,-0.056182943802397634,0.028127510380098444
